Source,Target
write a python program to add two numbers,"""\nnum1 = 1.5\nnum2 = 6.3\nsum = num1 + num2\nprint(f'Sum :  {sum}')"""
write a python function to add two user provided numbers and return the sum,"'\ndef add_two_numbers(num1, num2) : \n\tsum = num1 + num2\n\treturn sum'"
write a program to find and print the largest among three numbers,"""\nnum1 = 10\nnum2 = 12\nnum3 = 14\nif (num1 >= num2) and (num1 >= num3) : \n\tlargest = num1\nelif (num2 >= num1) and (num2 >= num3) : \n\tlargest = num2\nelse : \n\tlargest = num3\nprint(f'largest : {largest}')"""
write a program to find and print the smallest among three numbers,"""\nnum1 = 10\nnum2 = 12\nnum3 = 14\nif (num1 <= num2) and (num1 <= num3) : \n\tsmallest = num1\nelif (num2 <= num1) and (num2 <= num3) : \n\tsmallest = num2\nelse : \n\tsmallest = num3\nprint(f'smallest : {smallest}')"""
Write a python function to merge two given lists into one,"'\ndef merge_lists(l1, l2) : \n\treturn l1 + l2'"
Write a program to check whether a number is prime or not,"'\nnum = 337\nif num > 1 : \n\tfor i in range(2, num//2 + 1) : \n\t\tif (num % i) == 0 : \n\t\t\tprint(num,""is not a prime number"")\n\t\t\tprint(f""{i} times {num//i} is {num}"")\n\t\t\tbreak\n\telse : \n\t\tprint(f""{num} is a prime number"")\nelse : \n\tprint(f""{num} is not a prime number"")'"
Write a python function that prints the factors of a given number,"'\ndef print_factors(x) : \n\tprint(f""The factors of {x} are : "")\n\tfor i in range(1, x + 1) : \n\t\tif x % i == 0 : \n\t\t\tprint(i)'"
Write a program to find the factorial of a number,"'\nnum = 13\nfactorial = 1\nif num < 0 : \n\tprint(""No factorials for negative numbers!"")\nelif num == 0 : \n\tprint(""The factorial of 0 is 1"")\nelse : \n\tfor i in range(1,num + 1) : \n\t\tfactorial = factorial*i\n\tprint(f""The factorial of {num} is {factorial}"")'"
"Write a python function to print whether a number is negative, positive or zero","'\ndef check_pnz(num) : \n\tif num > 0 : \n\t\tprint(""Positive number"")\n\telif num == 0 : \n\t\tprint(""Zero"")\n\telse : \n\t\tprint(""Negative number"")'"
Write a program to print the multiplication table of a given number,"'\nnum = 9\nfor i in range(1, 11) : \n\tprint(f""{num} x {i} = {num*i}"")'"
"Write a python function to print powers of 2, for given number of terms","'\ndef two_power(terms) : \n\tresult = list(map(lambda x :  2 ** x, range(terms)))\n\tprint(f""The total terms are :  {terms}"")\n\tfor i in range(terms) : \n\t\tprint(f""2^{i} = {result[i]}"")'"
Write a program to filter the numbers in a list which are divisible by a given number,"'\nmy_list = [11, 45, 74, 89, 132, 239, 721, 21]\nnum = 3\nresult = list(filter(lambda x :  (x % num == 0), my_list))\nprint(f""Numbers divisible by {num} are {result}"")'"
Write a python function that returns the sum of n natural numbers,"'\ndef sum_natural(num) : \n\tif num < 0 : \n\t\tprint(""Please enter a positive number!"")\n\telse : \n\t\tsum = 0\n\t\twhile(num > 0) : \n\t\t\tsum += num\n\t\t\tnum -= 1\n\t\treturn num'"
Write a program to swap first and last elements in a list,"'\nmy_list = [1, 2, 3, 4, 5, 6]\nmy_list[0], my_list[-1] = my_list[-1], my_list[0]'"
"Write a python function to find the area of a circle, whose radius is given",'\ndef findArea(r) :  \n\tPI = 3.142\n\treturn PI * (r*r)'
Write a program to print the sum of squares of first n natural numbers,"'\nn = 21\nsum_n = 0\nfor i in range(1, n+1) : \n\tsum_n += i**2\nprint(sum_n)'"
Write a program to print the length of a list,"'\nmy_list = [1, 2, 3, 4, 5, 6, 7, 8, 9]\nprint(len(my_list))'"
Write a pythno function to print the length of a given tuple,"'\nmy_tuple = (1, 2, 3, 4, 5, 6, 7, 8)\nprint(len(my_tuple))'"
"Write a python function to print the elements of a given list, one element in a line",'\ndef custom_print(l) : \n\tfor _ in l : \n\t\tprint(_)'
Write a python function to remove all the odd numbers from a list and return the remaining list,"'\ndef remove_odd(my_list) : \n\tresult = list(filter(lambda x :  (x % 2 == 0), my_list))\n\treturn result'"
Write a python function to remove all the even numbers from a list and return the remaining list,"'\ndef remove_even(my_list) : \n\tresult = list(filter(lambda x :  (x % 2 != 0), my_list))\n\treturn result'"
Write a function that takes two lists as input and returns a zipped list of corresponding elements,"'\ndef zip_list(list1, list2) : \n\treturn list(zip(list1, list2))'"
Write a program to to print the contents of a given file,"""\nfile_name = 'temp.txt'\nwith open(file_name, 'r') as f : \n\tprint(f.read())"""
Write a functin that returns the LCM of two input numbers,"'\ndef lcm(a, b) : \n\tif a>b : \n\t\tmin_ = a\n\telse : \n\t\tmin_ = b\n\twhile True : \n\t\tif min_%a==0 and min_%b==0 : \n\t\t\tbreak\n\t\tmin_+=1\n\treturn min_'"
Write a program to print the unique elements in a list,"'\nmy_list = [1, 2, 4, 5, 2, 3, 1, 5, 4, 7, 8, 2, 4, 5, 2, 7, 3]\nprint(set(my_list))'"
Write a function that returns the sum of digits of a given number,'\ndef digisum(num) : \n\tsum_=0\n\twhile num > 0 : \n\t\tdig = num % 10\n\t\tsum_+=dig\n\t\tnum//=10\n\treturn sum_'
Write a program to check and print whether a number is palindrome or not,"'\nnum = 12321\ntemp = num\nrev = 0\nwhile num > 0 : \n\tdig = num % 10\n\trev = rev*10 + dig\n\tnum//=10\nif temp==rev  : \n\tprint(""The number is a palindrome!"")\nelse : \n\tprint(""The number isn\'t a palindrome!"")'"
"Write a function that prints a given value, n number of times","'\ndef print_n(val, n) : \n\tfor _ in range(n) : \n\t\tprint(val)'"
Write a function to find the area of sqaure,'\ndef square_area(a) : \n\treturn a*a'
Write a function to find the perimeter of a square,'\ndef square_perimeter(a) : \n\treturn 4*a'
Write a function to find the area of rectangle,"'\ndef rectangle_area(l, b) : \n\treturn l*b'"
Write a function to find the permieter of a rectangle,"'\ndef rectangle_perimeter(l, b) : \n\treturn 2*(l+b)'"
"Write a python function to find the area of a circle, whose radius is given",'\ndef findArea(r) :  \n\tPI = 3.142\n\treturn PI * (r*r)'
Write a function to calculate and return electricity bill. Units used are given. Price per unit is fixed and is increased after 750 units.,'\ndef calc_elect_bill(units) : \n\tif units > 0 : \n\t\tif units <= 750 : \n\t\t\treturn 5*units\n\t\telse : \n\t\t\treturn 5*(750) + 7*(units-750)\n\telse : \n\t\treturn -1'
"Write a function to return day of a week, given the number","""\ndef give_day(n) : \n\tday_dict = {1 :  'Sunday', 2 :  'Monday', 3 :  'Tuesday', 4 :  'Wednesday', 5 :  'Thursday', 6 :  'Friday', 7 :  'Saturday'}\n\treturn day_dict[n]"""
Write a program to calculate and print the volume of a cylender,'\nr = 3\nh = 5\npi = 3.14\nvolume = pi*(r**2)*h\nprint(volume)'
Write a function to calculate and return the average of input numbers,'\ndef calc_avg(*args) : \n\tif len(args) > 0 : \n\t\treturn sum(args)/len(args)\n\treturn None'
"Write a function to calculate compound interest, given p, r, t","'\ndef comp_int(p, r, t) : \n\tamount = p * (1 + (r/100))**t\n\tinterest = amount - p\n\treturn interest'"
"Write a function to calculate simple interest, given p, r, t","'\ndef simp_int(p, r, t) : \n\tinterest = (p*r*t)/100\n\treturn interest'"
"Write a program to print a given string, replacing all the vowels with '_'","'\nst = ""Where is this going? Could you please help me understand!""\nvowels = ""AEIOUaeiou""\nfor v in vowels : \n\tst = st.replace(v, \'_\')\nprint(st)'"
Write a functio to check whether a number if perfect or not,"'\ndef is_perfect(n) : \n\tsum_ = 0\n\tfor i in range(1, n//2 + 1) : \n\t\tif n%i == 0 : \n\t\t\tsum_+=i\n\tif sum_ == n : \n\t\treturn True\n\treturn False'"
Write a function that returns seperate lists of positive and negative numbers from an input list,"'\ndef seperate_pn(l) : \n\tpos_list = []\n\tneg_list = []\n\tfor _ in l : \n\t\tif _<0 : \n\t\t\tneg_list.append(_)\n\t\telse : \n\t\t\tpos_list.append(_)\n\treturn pos_list, neg_list'"
"Write a program to find and print the area of a triangle, whose hight and width are given.",'\nh = 12\nw = 11\narea = 0.5*h*w\nprint(area)'
"Write a function to find acceleration, given u, v and t","'\ndef acc(u, v, t) : \n\treturn (v-u)/t'"
Write a lambda function to multiply two numbers,"'\nmultiply = lambda a, b :  a*b'"
Write a lambda function to add two numbers,"'\nadd = lambda a, b :  a+b'"
Write a lambda function that gives True if the input number is even otherwise False,'\neven = lambda a :  True if a%2 == 0 else False'
Write a lambda function to to give character grom it's ascii value,'\nascii = lambda a :  chr(a)'
Write a lambda function to that gives the number of digits in a number,'\ndig_cnt = lambda a :  len(str(a))'
"Write a program to to check if a triangle is valid or not, given it's all three angles","'\ndef is_valid_triangle_angle(a, b c) : \n\tif a+b+c == 180 : \n\t\treturn True\n\treturn False'"
"Write a program to to check if a triangle is valid or not, given it's all three sides' length","'\ndef is_valid_triangle_length(a, b c) : \n\tif a>0 and b>0 and c>0 : \n\t\tif a+b > c and a+c > b and b+c > a : \n\t\t\treturn True\n\treturn False'"
Write a lambda functio that gives the word count in a statement.,"""\ncount_word = lambda s :  len(s.split(' '))"""
Write a program to extract and print digits of a number in reverse order. The number is input from user.,"'\nnum = int(input(""Enter a number with multiple digit :  ""))\nn=0\nwhile num>0 : \n\ta = num%10\n\tnum = num - a\n\tnum = num/10\n\tprint(int(a),end="""")\n\tn = n + 1'"
"Write a function that takes in height(m) and weight(kg), calculates BMI and prints the comments","'\ndef bmi(height :  ""Meters"", weight :  ""Kgs"") : \n\tbmi = weight/(height**2) \n\tprint(""Your BMI is :  {0} and you are "".format(bmi), end=\'\')\n\tif ( bmi < 16) : \n\t\tprint(""severely underweight."")\n\telif ( bmi >= 16 and bmi < 18.5) : \n\t\tprint(""underweight."")\n\telif ( bmi >= 18.5 and bmi < 25) : \n\t\tprint(""healthy."")\n\telif ( bmi >= 25 and bmi < 30) : \n\t\tprint(""overweight."")\n\telif ( bmi >=30) : \n\t\tprint(""severely overweight."") '"
Write a program that prints all the alphabets in a string and skips all other characters,"'\nstring = ""$john.snow#@Got.bad_ending/com""\nfor ch in string : \n\tif (ch>=\'A\' and ch<=\'Z\') or (ch>=\'a\' and ch<=\'z\') : \n\t\tprint(ch, end=\'\')\n\telse : \n\t\tpass'"
Write a function that takes number of disks in tower of hanaoi problem and returns the minimum number of steps required,'\ndef hanoi(x) : \n\tif x == 1 : \n\t\treturn 1\n\telse : \n\t\treturn 2*hanoi(x-1) + 1'
Write a lambda function to convert centimeters to inches,'\ncm_to_inch = lambda x :  x/2.54'
Write a lambda function to find the union of two lists,"'\nunion = lambda a, b :  list(set(a)|set(b))'"
Write a lambda function to find the intersection of two lists,"'\nintersection = lambda a, b :  list(set(a)&set(b))'"
Write a program that adds the square of two numbers and prints it,'\na = 32\nb = 21\nresult = a**2 + b**2\nprint(result)'
Write a python function to concat the input strings and there's also a choice for seperator,"""\ndef con_str(*args, sep = ' ') : \n\treturn sep.join(args)"""
Write a program to print all the even numbers in a range,"'\nr1, r2 = 1, 28\nfor _ in range(r1, r2+1) : \n\tif _%2 == 0 : \n\tprint(_)'"
write a python program to sort dictionary items,"'\ndict1 = {\'car\' :  [7, 6, 3],  \n\t\t\t\t\'bike\' :  [2, 10, 3],  \n\t\t\t\t\'truck\' :  [19, 4]}\nprint(f""The original dictionary is  :  {str(dict1)}"") \nres = dict() \nfor key in sorted(dict1) :  \n\tres[key] = sorted(dict1[key])\nprint(f""The sorted dictionary  :  {str(res)}"")'"
write a program to display date and time,"'\nimport datetime\nnow = datetime.datetime.now()\ntime= now.strftime(""%Y-%m-%d %H : %M : %S"")\nprint(f""Current date and time  :  {time}"")'"
write a program to return the absolute value,"""\nnum = -10\nprint(f'Absolute of {num} is {abs(num)}')"""
write a python program to check the length of list,"""\nsample_list = ['a','b','c']\nprint(f'length of sample_list is {len(sample_list)}')"""
write a Python program to calculate number of days between two dates.,"""\nfrom datetime import date\nf_date = date(2019, 4, 15) # YYYY/MM/DD\nl_date = date(2020, 4, 15) # YYYY/MM/DD\ndelta = l_date - f_date\nprint(f'No of days between {f_date} and {l_date} is : {delta.days}')"""
write a Python program to convert Python objects into JSON strings.,"'\nimport json\npython_dict =  {""name"" :  ""David"", ""age"" :  6, ""class"" : ""I""}\njson_dict = json.dumps(python_dict, sort_keys=True, indent=4)\nprint(f""json dict  :  {json_dict}"")'"
